id,claimDate,insuredPersonId,cardNumber,examDate,documents,claimAmount,status,receiverInfo
f-0000000002,2024-02-02,c-0000003,1234567892,2024-04-04,f-0000000002_1234567892_doc1.pdf/f-0000000002_1234567892_doc2.pdf,600,NEW,ACB Bank-Jane Doe-1234567899876
f-0000000003,2024-03-03,c-0000004,1234567893,2024-05-05,f-0000000003_1234567893_doc1.pdf,700,NEW,VietinBank-John Smith-1234567891234
f-0000000004,2024-04-04,c-0000005,1234567894,2024-06-06,f-0000000004_1234567894_doc1.pdf/f-0000000004_1234567894_doc2.pdf,800,NEW,HSBC Bank-Alice Johnson-1234567892345
f-0000000005,2024-05-05,c-0000006,1234567895,2024-07-07,f-0000000005_1234567895_doc1.pdf/f-0000000005_1234567895_doc2.pdf,900,NEW,Vietcombank-Bob Brown-1234567893456
f-0000000006,2024-06-06,c-0000007,1234567896,2024-08-08,f-0000000006_1234567896_doc1.pdf,1000,NEW,Agribank-James Davis-1234567894567
f-0000000007,2024-07-07,c-0000008,1234567897,2024-09-09,f-0000000007_1234567897_doc1.pdf/f-0000000007_1234567897_doc2.pdf,1100,NEW,Sacombank-Emily Wilson-1234567895678
f-0000000008,2024-08-08,c-0000009,1234567898,2024-10-10,f-0000000008_1234567898_doc1.pdf,1200,NEW,VPBank-David Lee-1234567896789
f-0000000009,2024-09-09,c-0000010,1234567899,2024-11-11,f-0000000009_1234567899_doc1.pdf/f-0000000009_1234567899_doc2.pdf,1300,NEW,Vietcombank-Sarah Miller-1234567897890
f-0000000010,2024-10-10,c-0000011,1234567800,2024-12-12,f-0000000010_1234567800_doc1.pdf/f-0000000010_1234567800_doc2.pdf,1400,NEW,BIDV-Sophia Wilson-1234567898901
f-0000000011,2024-11-11,c-0000012,1234567801,2025-01-01,f-0000000011_1234567801_doc1.pdf,1500,NEW,TPBank-Michael Taylor-1234567899012
f-0000000012,2024-12-12,c-0000013,1234567802,2025-02-02,f-0000000012_1234567802_doc1.pdf/f-0000000012_1234567802_doc2.pdf,1600,NEW,Vietcombank-Emma Johnson-1234567890123
f-0000000013,2025-01-01,c-0000014,1234567803,2025-03-03,f-0000000013_1234567803_doc1.pdf/f-0000000013_1234567803_doc2.pdf,1700,NEW,HD Bank-William Thompson-1234567891234
f-0000000014,2025-02-02,c-0000015,1234567804,2025-04-04,f-0000000014_1234567804_doc1.pdf,1800,NEW,HSBC Bank-Emily Adams-1234567892345
f-0000000015,2025-03-03,c-0000016,1234567805,2025-05-05,f-0000000015_1234567805_doc1.pdf/f-0000000015_1234567805_doc2.pdf,1900,NEW,Agribank-William Brown-1234567893456
f-0000000016,2025-04-04,c-0000017,1234567806,2025-06-06,f-0000000016_1234567806_doc1.pdf/f-0000000016_1234567806_doc2.pdf,2000,NEW,Sacombank-Emma Green-1234567894567
f-0000000017,2025-05-05,c-0000018,1234567807,2025-07-07,f-0000000017_1234567807_doc1.pdf,2100,NEW,VPBank-Thomas Wilson-1234567895678
f-0000000018,2025-06-06,c-0000019,1234567808,2025-08-08,f-0000000018_1234567808_doc1.pdf/f-0000000018_1234567808_doc2.pdf,2200,NEW,Vietcombank-Liam Johnson-1234567896789
f-0000000019,2025-07-07,c-0000020,1234567809,2025-09-09,f-0000000019_1234567809_doc1.pdf,2300,NEW,BIDV-Nicole Martinez-1234567897890
f-0000000020,2025-08-08,c-0000021,1234567810,2025-10-10,f-0000000020_1234567810_doc1.pdf/f-0000000020_1234567810_doc2.pdf,2400,NEW,TPBank-Samantha Taylor-1234567898901
f-0000000021,2025-09-09,c-0000022,1234567811,2025-11-11,f-0000000021_1234567811_doc1.pdf,2500,NEW,HD Bank-Isabella Adams-1234567899012
f-0000000022,2025-10-10,c-0000023,1234567812,2025-12-12,f-0000000022_1234567812_doc1.pdf/f-0000000022_1234567812_doc2.pdf,2600,NEW,Agribank-Logan Brown-1234567890123
f-0000000023,2025-11-11,c-0000001,1234567890,2026-01-01,f-0000000023_1234567890_doc1.pdf/f-0000000023_1234567890_doc2.pdf,2700,NEW,Sacombank-Harper Green-1234567891234
f-0000000025,2026-01-01,c-0000003,1234567892,2026-03-03,f-0000000025_1234567892_doc1.pdf/f-0000000025_1234567892_doc2.pdf,2900,NEW,Vietcombank-Abigail Johnson-1234567893456
f-0000000026,2026-02-02,c-0000004,1234567893,2026-04-04,f-0000000026_1234567893_doc1.pdf,3000,NEW,BIDV-Alexander Davis-1234567894567
f-0000000027,2026-03-03,c-0000005,1234567894,2026-05-05,f-0000000027_1234567894_doc1.pdf/f-0000000027_1234567894_doc2.pdf,3100,NEW,TPBank-Victoria Brown-1234567895678
f-0000000028,2026-04-04,c-0000006,1234567895,2026-06-06,f-0000000028_1234567895_doc1.pdf/f-0000000028_1234567895_doc2.pdf,3200,NEW,HD Bank-Daniel Wilson-1234567896789
f-0000000029,2026-05-05,c-0000007,1234567896,2026-07-07,f-0000000029_1234567896_doc1.pdf,3300,NEW,VietinBank-Elizabeth Taylor-1234567897890
f-0000000030,2026-06-06,c-0000008,1234567897,2026-08-08,f-0000000030_1234567897_doc1.pdf/f-0000000030_1234567897_doc2.pdf,3400,NEW,Agribank-William Thompson-1234567898901
