id,fullName,cardNumber,policyHolderId
c-0000001,John Doe,1234567890,c-0000001
c-0000002,Jane Doe,1234567891,c-0000001
c-0000003,Jim Beam,1234567892,c-0000003
c-0000004,Alice Smith,1234567893,c-0000004
c-0000005,Bob Johnson,1234567894,c-0000005
c-0000006,Mary Williams,1234567895,c-0000006
c-0000007,Michael Davis,1234567896,c-0000007
c-0000008,Emily Wilson,1234567897,c-0000008
c-0000009,David Lee,1234567898,c-0000009
c-0000010,Sarah Brown,1234567899,c-0000010
c-0000011,Olivia Garcia,1234567800,c-0000011
c-0000012,Ethan Taylor,1234567801,c-0000012
c-0000013,Sophia Martinez,1234567802,c-0000013
c-0000014,Liam Anderson,1234567803,c-0000014
c-0000015,Ava Perez,1234567804,c-0000015
c-0000016,Chloe Clark,1234567805,c-0000016
c-0000017,James Hill,1234567806,c-0000017
c-0000018,Benjamin Scott,1234567807,c-0000018
c-0000019,Mia Green,1234567808,c-0000019
c-0000020,Amelia Adams,1234567809,c-0000020
c-0000021,Emma Johnson,1234567810,c-0000011
c-0000022,Noah Smith,1234567811,c-0000011
c-0000023,William Wilson,1234567812,c-0000011
